Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   Egz    
Nomedas             Jankauskas          4      6      3      5      3      6      8      7      6      5      1      
Imantas             Sakalauskas         2      6      9      4      10     3      2      10     7      6      4      
Banguolis           Butkus              4      4      4      3      2      7      1      2      9      3      10     
Pilypas             Petrauskas          4      9      10     1      2      6      2      1      5      1      8      
Skirgaila           Kavaliauskas        5      4      8      1      7      5      9      9      7      3      7      
Vergilijus          Butkus              4      10     1      8      4      4      2      3      1      7      7      
Valdis              Vasiliauskas        9      6      7      10     8      10     5      5      4      9      3      
Silvijus            Stankevicius        5      4      8      6      10     2      4      5      4      8      1      
Drasius             Paulauskas          9      10     10     4      8      1      3      2      4      10     2      
Rytautas            Urbonas             5      2      6      3      10     1      6      3      6      5      2      
zygaudas            Petrauskas          1      3      5      8      6      10     4      6      4      10     5      
Jezis               Paulauskas          3      5      10     7      9      5      10     3      10     9      2      
Kalikstas           Butkus              7      8      5      7      8      10     6      5      4      2      9      
Naglis              Pocius              2      4      3      4      9      7      7      3      7      8      8      
Mikolajus           Baranauskas         3      9      1      7      4      4      3      5      9      5      1      
Otilijus            Petrauskas          10     1      7      5      5      9      6      10     10     1      2      
Danas               Butkus              9      9      1      10     8      3      10     6      10     8      5      
Kestutis            Kavaliauskas        10     5      2      10     3      3      3      10     3      2      9      
Bronislovas         Baranauskas         2      1      4      1      10     3      5      1      3      3      2      
Voldemaras          Paulauskas          8      9      5      5      6      2      2      2      3      1      8      
Urbonas             Kazlaukas           1      5      7      2      3      8      5      1      1      2      5      
Zygmuntas           Urbonas             10     3      3      9      9      7      1      2      3      1      3      
Vainius             zukauskas           9      2      10     10     1      7      8      2      3      3      6      
Arunas              Butkus              4      10     6      8      8      5      4      3      1      2      3      
Rytis               zukauskas           9      6      6      5      10     1      5      9      3      3      4      
Reinhardas          zukauskas           7      3      4      7      10     2      10     3      9      3      1      
Valentinas          Stankevicius        9      10     2      3      4      8      10     10     4      9      1      
Oktavijus           zukauskas           2      7      7      3      10     10     3      1      8      8      2      
Naumas              Kateiva             7      5      1      10     7      2      4      9      5      9      10     
Mamertas            Stankevicius        6      8      9      8      7      1      5      8      1      5      7      
Gedas               Urbonas             2      10     7      1      5      10     10     4      7      7      1      
Reginaldas          Jankauskas          6      6      7      5      8      5      2      5      9      2      4      
Valdis              Paulauskas          7      2      3      1      6      1      3      8      10     8      3      
Akvilinas           Butkus              2      1      2      4      3      4      8      10     4      2      10     
Tumas               Vasiliauskas        5      2      5      4      6      8      8      5      5      1      9      
Artas               Kavaliauskas        8      3      1      4      5      7      6      4      2      1      8      
Donaldas            Kateiva             6      1      3      4      8      6      3      4      8      3      7      
Ausrys              Kateiva             6      3      2      7      6      2      4      1      2      2      6      
Gedvydas            Vasiliauskas        8      1      6      6      8      7      6      1      1      1      2      
Vilgaudas           Stankevicius        6      4      1      8      7      7      8      6      4      3      7      
Rostislavas         Kazlaukas           2      8      3      2      4      10     9      1      4      3      7      
Baltramiejus        Butkus              7      9      6      8      2      1      3      2      4      1      7      
Semionas            Butkus              1      10     4      9      8      10     7      6      5      3      7      
Grigorijus          Petrauskas          7      5      7      5      6      10     6      3      9      1      4      
Augustas            Sakalauskas         1      9      2      8      9      9      4      4      10     6      9      
Mantrimas           Urbonas             9      2      1      6      9      2      2      5      3      4      7      
Santaras            Butkus              1      7      3      9      3      7      5      2      6      5      8      
Gedmantas           Vasiliauskas        10     8      9      6      8      1      1      1      5      1      1      
Rafalas             Paulauskas          6      3      4      7      2      5      2      9      6      8      10     
Kornelijus          Kazlaukas           5      8      2      1      4      8      5      4      8      9      2      
Gytautas            Jankauskas          10     2      2      1      2      4      8      1      10     3      8      
Aristarchas         Urbonas             1      4      4      5      10     10     7      7      8      6      2      
Juozapas            Baranauskas         10     1      1      4      6      5      6      5      3      1      2      
Drasutis            Kateiva             1      1      3      6      10     6      3      5      3      8      2      
Tautrimas           Butkus              10     1      4      10     10     1      2      1      4      5      9      
Ausrys              Pocius              2      3      6      6      6      9      7      10     2      4      9      
Gavrilas            Kazlaukas           8      4      4      3      3      4      5      8      1      6      6      
Arkadijus           Butkus              10     10     10     4      6      9      1      2      2      5      7      
Edvinas             Kazlaukas           10     6      6      5      4      2      8      3      2      1      7      
Maksas              Kazlaukas           8      5      5      3      5      9      6      5      4      7      2      
Rodrigas            Kazlaukas           5      2      4      9      10     1      5      2      2      6      2      
Kajus               Urbonas             5      5      9      5      3      3      1      9      8      9      10     
zvaigzdzius         Vasiliauskas        5      8      4      2      10     10     5      2      9      9      8      
Vadimas             Vasiliauskas        9      3      7      7      1      2      2      10     3      10     9      
Demjanas            Butkus              1      7      9      4      8      6      1      7      9      1      9      
Vladimiras          zukauskas           7      3      5      8      6      7      8      8      3      9      8      
Salvijus            Petrauskas          6      5      9      2      8      4      10     9      9      3      2      
Tomas               Kazlaukas           6      6      10     8      5      6      6      4      2      9      8      
Artiomas            Urbonas             8      1      6      4      1      5      9      6      8      2      10     
Erichas             Jankauskas          8      2      9      1      8      8      5      9      3      10     4      
Sviatoslavas        Petrauskas          3      5      5      5      3      7      5      8      4      9      7      
Maksimilijonas      zukauskas           7      5      4      8      10     2      10     8      5      6      1      
Gordejus            Stankevicius        3      3      4      9      8      6      5      10     6      10     8      
Izidorius           zukauskas           3      2      6      10     3      4      9      4      9      8      9      
Valys               Baranauskas         4      7      1      9      3      3      8      6      5      5      7      
Grigas              Paulauskas          1      7      5      4      10     8      6      6      9      3      3      
Vydas               Baranauskas         4      4      6      4      6      7      2      3      6      8      10     
Darijus             Paulauskas          9      6      8      4      8      7      5      4      4      6      1      
Vilenas             Kateiva             8      7      8      5      2      5      7      4      7      1      6      
Visvaldas           Baranauskas         4      7      3      9      7      8      5      3      7      2      9      
Makarijus           Baranauskas         5      10     10     7      9      2      2      9      8      1      6      
Arminas             Urbonas             2      10     6      8      10     2      3      4      8      9      3      
Vitoldas            Urbonas             8      1      3      8      10     7      2      6      10     10     4      
Stefanas            Jankauskas          3      5      8      7      6      6      3      3      4      1      2      
Vaidutis            Kavaliauskas        10     8      9      3      6      4      1      1      7      1      3      
Rufas               Urbonas             6      2      6      1      2      7      9      1      5      6      4      
Aistis              Urbonas             4      5      9      3      9      8      1      10     9      7      10     
Alius               Vasiliauskas        9      3      8      8      10     4      9      10     5      2      6      
Steponas            Petrauskas          10     5      7      10     4      7      9      10     7      6      6      
Grigorijus          Vasiliauskas        6      2      8      1      8      3      3      7      6      8      9      
Vykintas            Stankevicius        8      1      5      8      5      3      5      8      6      3      3      
Svajunas            Stankevicius        7      9      6      7      8      3      7      1      6      2      2      
Skalvis             Kavaliauskas        4      1      1      3      4      6      3      5      8      2      8      
Berzas              Baranauskas         4      2      7      4      1      5      6      3      7      9      9      
Gunaras             Kavaliauskas        4      4      1      6      3      4      2      1      3      1      4      
Laisvis             zukauskas           6      6      2      4      1      5      10     9      7      7      4      
Erichas             Sakalauskas         7      10     5      6      2      9      7      7      2      4      8      
Rytis               Kavaliauskas        10     10     7      8      7      5      7      7      6      7      4      
Eldaras             Vasiliauskas        2      5      5      9      7      10     3      1      6      3      3      
Gediminas           zukauskas           2      4      1      3      6      5      5      9      4      10     7      
Gasparas            Sakalauskas         8      4      6      4      9      2      8      6      10     10     3      
Gedmas              Kazlaukas           3      9      5      10     1      8      6      10     7      6      1      
Alius               zukauskas           10     1      4      2      4      5      10     2      8      7      10     
Gintautas           Sakalauskas         4      7      4      5      6      1      1      2      8      9      8      
Paulis              Baranauskas         3      9      10     10     10     6      2      6      4      6      1      
Eidvydas            Kazlaukas           8      1      2      7      3      7      2      8      7      4      6      
Helmutas            Baranauskas         3      3      6      3      5      3      7      10     1      6      6      
Klaudijus           zukauskas           7      10     5      6      5      9      6      4      3      2      8      
Baltramiejus        Jankauskas          8      3      2      8      8      3      5      3      10     6      2      
Dovilis             Baranauskas         1      9      7      10     1      1      9      8      2      5      1      
Richardas           Sakalauskas         5      3      1      1      5      9      9      7      1      2      2      
Damijonas           Kavaliauskas        6      9      2      8      7      2      5      9      5      10     3      
Grigas              Jankauskas          1      5      1      10     9      4      10     6      10     7      1      
Gracijonas          Petrauskas          2      10     2      1      2      9      1      3      6      6      2      
Valdimantas         Urbonas             9      1      9      7      1      1      6      7      6      4      6      
Vacius              Urbonas             8      2      1      2      8      1      7      1      5      9      6      
Severas             Butkus              10     6      5      5      7      8      5      2      3      8      6      
Bartvydas           Paulauskas          7      6      4      5      10     3      3      9      3      2      10     
Gendrius            Butkus              9      4      1      2      2      7      10     9      7      5      6      
Karpas              Kavaliauskas        4      7      2      5      5      6      6      1      2      6      5      
Eidvydas            Jankauskas          10     6      2      3      7      5      6      8      8      6      7      
Ainius              Vasiliauskas        4      3      8      1      10     2      7      8      2      7      7      
Vilijus             Paulauskas          2      8      9      2      5      4      9      4      1      7      7      
Adamas              Vasiliauskas        8      3      3      7      2      8      7      5      5      6      8      
Jaunutis            Kateiva             10     3      2      1      3      9      4      6      6      7      3      
Kirilas             Butkus              9      9      9      2      4      10     9      9      1      8      9      
Emilijus            Jankauskas          5      8      7      5      7      9      3      9      9      2      9      
Grigalius           Jankauskas          1      5      7      5      2      8      9      7      8      3      5      
Julius              Stankevicius        9      6      3      3      3      2      9      6      4      2      6      
Vincentas           Vasiliauskas        4      4      2      10     4      5      3      5      10     6      2      
Julijonas           zukauskas           4      1      7      10     7      9      1      3      8      3      4      
Adolfas             Baranauskas         10     1      9      8      2      8      6      3      6      8      7      
Mendelis            Vasiliauskas        9      8      5      7      7      3      8      2      10     5      7      
Gavrila             Baranauskas         6      4      6      6      2      6      7      3      4      7      4      
zygaudas            Sakalauskas         10     8      5      1      7      4      8      4      4      10     9      
Dovis               Petrauskas          6      2      10     5      6      2      1      3      7      1      1      
Chaimas             Sakalauskas         8      9      4      6      10     10     2      1      1      5      3      
Joanas              Urbonas             2      4      4      9      1      6      6      4      8      8      2      
Rodrigas            Kazlaukas           3      5      9      9      3      4      2      5      1      4      1      
Anisimas            Vasiliauskas        10     6      6      5      7      2      4      3      7      1      3      
Platonas            zukauskas           5      4      5      9      1      3      1      7      5      4      9      
Margiris            Butkus              5      7      1      9      9      9      1      10     7      10     8      
Vismantas           Paulauskas          10     8      10     7      8      4      9      6      1      5      2      
Bernardas           Kavaliauskas        9      10     9      4      2      9      3      10     3      8      4      
Irtautas            Kavaliauskas        2      8      8      9      9      1      3      1      9      3      3      
Zigfridas           zukauskas           5      1      2      4      9      8      8      9      8      9      1      
Astijus             Petrauskas          5      4      3      5      5      4      6      7      10     1      9      
Ferdinandas         zukauskas           4      2      2      4      3      3      2      8      3      2      2      
Moze                Stankevicius        3      8      5      2      8      5      10     7      9      1      9      
Stepas              Urbonas             6      9      5      5      2      6      7      5      4      1      10     
Povilas             Kazlaukas           7      9      3      9      1      4      2      1      7      3      8      
Elmantas            Baranauskas         10     9      2      2      2      8      5      9      5      10     5      
Patrikas            Kateiva             6      1      4      8      10     8      7      4      10     3      1      
Alius               Butkus              10     4      6      9      8      2      10     1      7      5      6      
Audrius             Kateiva             3      1      10     6      9      7      2      1      7      1      6      
Eugeniusas          Jankauskas          3      9      9      5      6      1      4      6      2      9      3      
Liubomiras          Paulauskas          1      9      9      9      10     7      4      9      5      1      9      
Dominykas           Butkus              5      8      6      2      9      10     2      7      8      10     3      
Vitoldas            Kazlaukas           9      8      5      9      8      10     9      1      10     10     6      
Donatas             Jankauskas          5      1      10     10     7      6      7      1      7      4      5      
Borisas             Urbonas             1      9      5      10     1      1      7      10     5      5      10     
Platonas            Butkus              3      8      3      2      3      2      4      8      2      7      3      
Klemensas           Butkus              5      3      9      5      2      6      7      9      4      6      10     
Raulis              Kazlaukas           6      6      9      4      1      2      4      2      4      2      6      
Francas             Butkus              4      10     1      2      7      8      6      9      1      8      2      
Miglius             Kateiva             7      1      7      8      2      3      2      4      6      7      4      
Vadimas             Sakalauskas         8      2      10     5      4      5      10     6      7      2      6      
Geivydas            Petrauskas          10     6      6      5      5      9      2      5      1      2      5      
Alius               Petrauskas          3      6      2      2      1      7      4      5      7      3      1      
Laurentijus         Sakalauskas         1      10     2      1      3      1      3      8      7      2      7      
Laisvis             Kavaliauskas        6      5      10     8      9      1      1      9      1      10     4      
Ambraziejus         Kavaliauskas        10     6      5      3      8      9      4      9      4      4      9      
Vejunas             Paulauskas          10     9      9      2      10     1      8      9      7      8      6      
Kamilis             Jankauskas          10     6      7      3      8      6      2      5      5      3      2      
Vilmantas           Paulauskas          2      7      6      2      9      1      9      7      2      6      4      
Merunas             Kazlaukas           3      9      1      5      4      9      5      10     1      1      6      
Zygfridas           Butkus              9      5      8      3      3      9      9      1      3      9      5      
Steponas            Vasiliauskas        3      3      1      9      8      2      9      5      4      8      4      
Jokimas             Kateiva             6      6      6      8      4      3      7      9      3      4      4      
Maksas              Kazlaukas           10     4      1      2      1      2      2      8      7      10     4      
Gustis              Petrauskas          10     9      4      7      9      5      1      6      7      8      5      
Vitas               Kazlaukas           4      8      3      9      6      6      4      4      7      3      3      
Elijus              Sakalauskas         4      10     9      3      8      3      7      5      5      9      10     
Adamas              Kateiva             2      8      2      6      2      3      10     1      4      8      8      
Leandras            Sakalauskas         6      4      3      8      1      5      7      3      10     6      4      
Arijus              Urbonas             6      2      10     8      10     6      3      10     1      5      4      
Mikalojus           Kavaliauskas        5      7      7      9      3      6      7      5      4      10     5      
Almantas            Butkus              4      6      1      9      7      3      10     9      4      6      1      
Simeonas            Kazlaukas           9      6      8      1      8      1      9      4      10     3      10     
Almantas            Stankevicius        1      7      9      5      6      1      5      6      4      3      1      
Judrius             Stankevicius        6      2      4      2      10     5      2      5      10     5      10     
Jacekas             Paulauskas          3      1      6      1      2      6      8      1      6      6      9      
Ovidijus            Pocius              9      8      1      6      9      5      7      9      4      8      6      
Utenis              Kavaliauskas        10     7      2      8      2      3      7      4      1      5      9      
Zigfridas           Kateiva             10     3      1      3      8      2      5      7      8      1      8      
Silvestras          Kateiva             3      3      6      1      2      5      6      2      5      8      3      
Edmundas            Vasiliauskas        3      7      7      9      10     2      5      5      8      1      8      
Arminas             Baranauskas         10     7      7      2      4      10     10     5      3      3      7      
Makarijus           Butkus              8      5      9      4      7      9      5      6      7      5      6      
Alvidas             Kateiva             8      8      9      5      3      5      8      9      6      9      4      
Alvydas             Pocius              7      2      1      4      7      1      5      5      8      5      3      
Otas                Butkus              6      10     4      2      8      10     9      8      1      10     7      
Viktoras            Jankauskas          10     5      2      10     6      9      4      7      9      3      7      
Dimitrijus          Baranauskas         9      9      8      8      9      4      10     2      5      4      9      
Bronius             Kateiva             3      10     5      10     1      9      9      10     6      8      4      
Venantas            Urbonas             5      8      9      10     3      8      3      8      9      10     3      
Jaroslavas          Kazlaukas           8      7      10     4      3      3      5      4      10     4      2      
Maratas             Urbonas             7      1      5      10     10     4      7      10     6      3      9      
Natas               Kateiva             10     9      7      9      10     6      2      4      6      3      6      
Gaudenis            Baranauskas         4      2      3      3      7      7      10     3      6      3      6      
Daumantas           Urbonas             5      2      6      3      1      2      1      1      4      4      1      
Berzas              Paulauskas          9      6      10     5      7      1      7      10     7      9      4      
Sigitas             Kateiva             1      10     7      7      1      7      3      6      9      9      1      
Herkus              Butkus              1      1      9      7      8      6      1      2      4      8      1      
Almantas            Stankevicius        3      3      4      4      8      3      5      6      4      6      6      
Vilgaudas           zukauskas           3      7      2      2      6      7      3      10     10     10     6      
Emanuelis           Vasiliauskas        10     2      9      9      7      7      7      4      2      2      1      
Vylius              Butkus              2      6      1      3      5      5      9      1      2      4      6      
Agnius              Paulauskas          5      9      4      3      9      8      8      1      5      4      3      
Audronius           Sakalauskas         1      4      1      8      4      3      8      6      2      7      5      
Baltazaras          Butkus              9      5      10     3      7      1      5      8      1      5      9      
Viltaras            zukauskas           1      6      8      8      7      5      1      4      4      5      4      
Rytas               Paulauskas          2      3      9      10     4      4      4      10     9      8      3      
Rostislavas         Kavaliauskas        3      10     8      6      3      9      2      8      1      5      9      
Rapolas             Petrauskas          6      5      9      8      6      5      2      7      1      9      2      
Akimas              Stankevicius        8      7      5      10     4      5      5      4      8      3      1      
Uosis               Pocius              3      4      8      5      6      3      8      10     6      2      6      
Remigijus           Urbonas             9      2      4      5      8      8      8      2      7      2      4      
Astijus             Kazlaukas           9      3      4      5      5      6      4      3      4      3      1      
Neringas            Petrauskas          3      6      10     7      5      9      3      7      3      5      2      
Ignotas             Kateiva             6      5      3      5      2      4      5      10     1      7      8      
Dominykas           Paulauskas          9      3      2      3      10     10     1      1      5      6      4      
Maksimas            Kavaliauskas        5      8      2      3      7      9      3      9      2      5      10     
Gavrila             Butkus              4      8      6      9      2      7      7      7      3      5      2      
Ernestas            Paulauskas          1      8      6      5      1      6      6      5      3      4      9      
Alfonsas            Urbonas             8      4      7      8      3      7      6      5      1      7      7      
Valerijus           Baranauskas         3      4      5      7      6      2      1      8      4      7      4      
Rimas               Kateiva             3      7      2      9      9      10     9      1      1      6      7      
Marcelius           zukauskas           9      8      8      2      1      1      2      9      1      7      3      
Tomasas             Vasiliauskas        4      5      1      4      6      2      7      9      6      2      10     
Leopoldas           Butkus              8      8      5      6      8      4      8      8      8      3      8      
Marcelinas          Kavaliauskas        5      3      10     5      9      6      7      6      2      8      4      
Laimonas            Urbonas             5      7      7      2      2      7      9      9      8      9      5      
Kostas              Pocius              1      9      4      7      8      4      4      9      2      7      5      
Fiodoras            Kavaliauskas        4      2      2      5      10     3      9      6      5      2      1      
Palmyras            Kazlaukas           3      1      1      8      2      2      9      2      10     2      8      
Liubomiras          Kavaliauskas        5      1      7      7      7      7      6      6      2      5      8      
Samuelis            Baranauskas         1      10     7      6      2      1      8      1      9      4      5      
Zygfridas           Paulauskas          6      5      1      5      8      10     1      8      10     2      8      
Semionas            Petrauskas          10     4      1      2      3      9      9      3      5      8      1      
Genadijus           Pocius              3      3      4      3      3      5      9      10     9      6      2      
Eivydas             Kateiva             4      5      1      1      3      5      10     3      6      6      3      
Diomidas            Vasiliauskas        5      8      8      4      4      7      4      7      9      6      9      
Benas               Jankauskas          4      9      4      7      7      2      4      3      4      2      1      
zygaudas            Sakalauskas         8      6      9      4      10     10     9      2      3      7      7      
Mykolas             Stankevicius        8      2      2      4      7      3      6      3      3      8      8      
Vytenis             Petrauskas          10     4      3      6      7      4      5      5      3      3      4      
Rodrigas            Urbonas             10     8      6      10     9      6      10     4      7      5      5      
Dalius              Kazlaukas           8      4      3      6      3      9      9      3      7      2      1      
Narsutis            Kazlaukas           10     2      10     4      6      1      8      10     8      3      6      
Ernestas            Pocius              2      8      4      8      6      4      2      9      4      8      4      
Kaributas           Petrauskas          5      4      8      3      8      4      8      8      9      1      1      
Vilnius             Vasiliauskas        7      2      7      7      8      3      6      3      8      3      10     
Elijus              Jankauskas          3      9      7      8      3      3      7      8      2      3      7      
Kristoforas         Kateiva             7      2      9      9      5      4      1      2      7      4      3      
Felicijus           Kavaliauskas        8      4      3      3      6      8      6      8      3      7      5      
Viesulas            Kateiva             2      1      1      7      5      8      10     3      5      5      6      
Vyturys             Stankevicius        2      4      1      3      2      5      9      9      8      4      1      
Severinas           Baranauskas         1      10     3      7      1      3      5      5      2      10     6      
Martinas            zukauskas           1      8      6      2      10     2      5      5      6      4      9      
Gedmantas           Paulauskas          3      4      9      7      10     3      10     4      3      5      1      
Juras               Sakalauskas         3      5      8      7      3      7      1      10     2      1      5      
Vainius             Jankauskas          2      9      7      10     9      6      2      4      5      1      2      
Oktavijus           Kazlaukas           9      4      4      10     9      1      10     7      3      2      2      
Nauris              Butkus              5      1      5      9      4      1      5      1      10     8      3      
Eimantas            Kateiva             3      5      9      2      8      7      7      9      7      4      7      
Irvydas             Paulauskas          8      7      5      5      5      6      5      4      6      9      7      
Gintaras            Kazlaukas           2      2      8      4      10     1      7      1      3      1      7      
Gedas               Stankevicius        7      3      5      10     3      4      4      1      4      8      9      
Edvinas             Stankevicius        5      6      6      4      10     4      4      4      4      8      6      
Nikola              Jankauskas          10     8      9      3      10     10     9      7      5      5      3      
Sirvydas            Sakalauskas         4      8      9      10     6      1      10     9      5      8      4      
Kazys               Stankevicius        3      4      10     9      5      1      4      2      8      2      2      
Regimantas          Baranauskas         10     6      6      4      2      1      8      6      1      10     3      
Nazarijus           Paulauskas          10     4      4      8      4      2      5      9      4      4      7      
zydrius             Pocius              5      8      9      2      10     6      10     10     8      10     7      
Vergilijus          Vasiliauskas        3      4      7      10     10     10     10     10     2      7      1      
Klementas           Kazlaukas           1      7      7      9      2      9      1      7      3      8      5      
Juozapas            Kavaliauskas        7      6      5      8      6      1      1      8      6      10     6      
Danielius           Kavaliauskas        8      5      1      1      4      6      10     3      4      6      7      
Zbignevas           Baranauskas         10     3      5      6      3      7      2      1      5      9      4      
Melchioras          Kazlaukas           7      4      7      4      4      5      9      4      7      1      8      
Skalmantas          Paulauskas          5      9      5      1      9      1      4      8      8      2      7      
Romualdas           Pocius              8      2      10     3      4      9      8      3      8      8      10     
Dmitrijus           Kavaliauskas        10     8      10     6      4      2      2      2      4      6      2      
zydrius             zukauskas           7      3      1      9      2      1      8      8      5      2      3      
Rinatas             Kavaliauskas        3      9      7      3      7      6      7      8      6      7      8      
Palemonas           Paulauskas          10     8      3      6      9      1      9      2      8      9      3      
Margiris            zukauskas           4      4      9      6      4      2      1      10     10     7      6      
Vytas               Pocius              5      9      8      7      6      8      5      3      6      9      9      
Morkus              Kateiva             2      2      2      2      7      10     6      6      5      4      6      
Rutenis             Vasiliauskas        9      1      7      6      5      10     8      8      3      4      6      
Melanijus           Paulauskas          7      2      4      2      4      10     1      7      6      7      7      
Georgijus           Vasiliauskas        7      6      6      9      10     7      5      5      9      6      9      
Rytas               Sakalauskas         7      5      1      9      6      10     9      8      1      7      4      
Zygfridas           Paulauskas          6      1      2      3      8      8      4      3      7      4      9      
Francisekas         Baranauskas         2      5      1      8      1      5      9      1      7      4      5      
Brunas              Vasiliauskas        2      9      3      9      8      3      6      8      3      5      1      
Irvydas             Pocius              7      8      8      9      1      9      5      6      2      8      5      
Klementas           Vasiliauskas        10     5      3      3      3      9      2      2      5      1      4      
Svajus              Jankauskas          10     6      4      3      7      10     5      10     4      9      9      
Augis               Paulauskas          5      7      3      4      1      3      3      3      2      3      5      
Ruslanas            Sakalauskas         1      1      1      4      7      7      10     10     9      4      3      
Daumantas           Jankauskas          4      10     3      4      3      8      10     9      9      9      6      
Silverijus          Paulauskas          9      5      6      3      2      3      1      10     7      4      5      
Jogirdas            zukauskas           5      3      6      7      6      2      2      8      3      4      1      
Edvinas             Kavaliauskas        4      3      6      9      4      8      10     9      1      1      3      
Haraldas            Petrauskas          2      1      6      6      6      10     7      2      7      4      1      
Ubaldas             Urbonas             9      5      6      2      7      2      7      5      6      10     6      
Raimondas           Sakalauskas         7      8      4      7      2      7      4      2      10     7      10     
Dziugas             Urbonas             2      4      6      8      10     6      5      4      2      2      6      
Ralfas              Paulauskas          3      9      7      5      5      4      3      10     10     9      1      
Michailas           Baranauskas         5      10     8      4      1      2      3      2      2      10     8      
Rolfas              Petrauskas          4      8      8      6      5      3      8      7      3      8      4      
Konstantinas        Kazlaukas           8      3      5      4      5      10     10     9      8      7      3      
Ingvaras            Vasiliauskas        2      8      10     2      5      10     10     9      7      3      6      
Rubenas             Paulauskas          8      5      1      3      2      8      4      6      10     9      4      
Zigmas              Paulauskas          4      9      1      10     7      4      6      4      9      2      10     
Vestas              Kazlaukas           1      2      3      2      5      7      8      7      3      6      1      
Klimas              Stankevicius        5      8      6      3      7      3      2      3      5      2      8      
Indrius             Baranauskas         3      9      9      5      2      2      6      6      1      5      7      
Gotfridas           Butkus              4      6      6      10     4      9      10     8      8      4      5      
Narsutis            Jankauskas          2      2      10     9      10     8      2      8      10     5      8      
Antonas             Sakalauskas         5      5      8      6      4      7      2      9      5      4      9      
Pranas              Pocius              3      3      5      1      2      9      7      5      9      4      3      
Fedoras             Jankauskas          7      9      10     4      7      10     2      3      5      6      4      
ciogintas           Kateiva             1      4      4      2      10     10     7      2      9      3      10     
Vaigaudas           Stankevicius        3      4      5      4      7      2      10     5      2      6      1      
Napoleonas          Kazlaukas           5      9      9      9      8      8      3      8      2      7      9      
Vestas              Sakalauskas         4      1      6      8      7      4      3      5      2      5      6      
Herbertas           Petrauskas          5      4      4      4      10     4      3      10     9      8      10     
Bonifacas           Vasiliauskas        8      7      1      7      5      8      3      10     3      8      2      
Kozmas              Stankevicius        7      1      1      2      4      10     5      1      7      8      3      
Berzas              Kateiva             8      3      4      9      5      5      3      5      1      3      3      
Jotautas            Vasiliauskas        1      5      3      7      8      6      6      3      6      6      10     
Vyturys             Butkus              3      6      6      5      2      4      7      1      9      6      5      
Polikarpas          Urbonas             2      4      8      4      10     3      4      3      2      5      6      
Apolinaras          Petrauskas          1      5      3      3      7      9      4      4      3      9      5      
Jaroslavas          Jankauskas          1      9      10     2      7      10     5      9      2      4      4      
Neivydas            Urbonas             10     1      3      5      10     8      7      6      1      1      8      
Albertas            Petrauskas          6      3      2      6      1      2      9      7      8      9      9      
Severas             Paulauskas          7      7      6      7      3      6      5      1      4      7      7      
Anatolis            Sakalauskas         9      9      5      2      8      10     9      6      4      10     1      
Vytenis             Urbonas             9      5      4      4      1      4      3      9      7      1      3      
Gintas              Sakalauskas         9      7      5      7      4      2      7      2      3      3      2      
Ciprijonas          Stankevicius        7      10     3      4      9      6      5      3      9      5      9      
Dangerutis          Petrauskas          9      4      9      9      3      3      1      8      3      6      9      
zydrunas            Petrauskas          5      8      10     5      7      10     8      5      8      7      2      
Zigfridas           Jankauskas          9      7      6      10     10     3      6      2      1      3      6      
Elijus              Baranauskas         5      1      6      8      4      9      7      10     1      2      2      
Medardas            Sakalauskas         1      10     2      9      10     3      2      10     2      4      9      
Giedrius            Kateiva             5      9      1      8      8      6      2      10     10     8      7      
Davidas             Jankauskas          10     9      10     8      9      5      5      9      2      3      2      
Ruslanas            zukauskas           5      10     3      10     5      10     4      9      5      10     3      
Drasius             Jankauskas          9      1      5      1      8      7      1      4      9      5      4      
Edvinas             Baranauskas         8      10     2      9      9      6      2      1      9      4      8      
Domantas            zukauskas           3      3      9      10     5      1      7      9      9      8      8      
Marcelijus          zukauskas           8      4      5      6      3      1      2      8      1      9      2      
azuolas             Kavaliauskas        6      8      6      5      7      6      2      8      1      1      1      
Denisas             Pocius              4      3      9      3      10     8      8      10     7      9      8      
Juzefas             Sakalauskas         8      9      4      9      7      9      3      8      7      8      7      
Benas               Stankevicius        5      9      7      5      3      5      4      4      10     6      3      
Gaudrimas           Urbonas             2      4      10     7      9      3      10     10     3      3      3      
Dobilas             Butkus              5      1      7      1      8      2      5      5      10     9      1      
Dovis               Baranauskas         10     9      1      3      9      8      7      4      10     1      6      
Bronislovas         Kavaliauskas        7      2      6      10     7      10     6      10     6      1      10     
Darius              Pocius              4      8      9      8      8      10     9      10     1      1      6      
Mantvydas           Jankauskas          2      8      8      3      6      7      5      2      5      3      8      
Richardas           Stankevicius        10     8      8      6      5      6      6      4      1      7      8      
Deivis              Stankevicius        4      10     2      6      1      10     7      6      1      3      4      
zygaudas            Kavaliauskas        6      7      9      2      9      4      7      6      6      3      9      
Herbertas           Petrauskas          9      2      4      5      8      9      3      7      10     1      9      
Arvaidas            Kazlaukas           10     6      3      1      10     9      8      7      4      6      5      
Ricardas            Petrauskas          3      3      2      4      8      4      2      3      1      5      6      
Putinas             zukauskas           9      3      5      1      5      8      4      10     7      7      6      
Fridrikas           Pocius              5      3      8      4      9      10     3      3      7      7      10     
Mantvydas           Kavaliauskas        7      2      10     1      9      8      9      3      6      2      2      
Paulius             Paulauskas          7      6      5      4      10     6      2      5      3      10     6      
